Client Number,Name,State,Address,City,"Longitude , Latitude"
GA3465,BEAUTY QUEEN 98C STORE,GA,"3465 MACON RD, COLUMBUS, GA 31907",COLUMBUS,"32.4846343, -84.9381179"
GA3705,MECCA FASHION,GA,"3705 MONTGOMERY ST, SAVANNAH, GA 31405",SAVANNAH,"32.0460376, -81.10964659999999"
GA3920,HAIR ZONE BEAUTY SUPPLY,GA,"3920 PIO NONO AVE, MACON, GA 31206",MACON,"32.7938031, -83.6668203"
GA4437,5 STAR BEAUTY,GA,"4437 COLUMBUS RD STE:C, MACON, GA 31206",MACON,"32.8251575, -83.71542869999999"
GA4551,HAIR DEPOT,GA,"4551 BILLY WILLIAMSON DR, MACON, GA31206",MACON,"32.805295, -83.6934887"
GA4601,5 STAR BEAUTY,GA,"4601 SKIDAWAY RD, SAVANNAH, GA 31404",SAVANNAH,"32.0273631, -81.0710701"
GA4632,5 STAR BEAUTY,GA,"4632 HICKS RD, MABLETON, GA 30126",MABLETON,"33.8448164, -84.578643"
GA4800,EMPRESS BEAUTY SUPPLY,GA,"4800 REDAN RD, STONE MOUNTAIN, GA30088",ATLANTA,"33.8227652, -84.2185527"
GA4855,SEVEN DAUGHTERS BEAUTY SUPPLY,GA,"4855 OLD NATIONAL HWY STE B, ATLNTA,GA30337",ATLANTA,"33.6226007, -84.47677"
GA502,BEAUTY QUEEN 98C STORE,GA,"502 BROWN AVE, COLUMBUS, GA 31906",COLUMBUS,"32.4555267, -84.9601543"
GA525,GATE 2 BEAUTY SUPPLY,GA,"525 E ROBINSON AVE, GROVETOWN, GA30813",GROVETOWN,"33.4438824, -82.186622"
GA628,BEAUTY & BEYOND,GA,"628 MARTIN LUTHER KING JR BLVD, SAVANNAH, GA 31401",SAVANNAH,"32.06872, -81.1016012"
GA642,5 STAR BEAUTY,GA,"642 SHURLING DR, MACON, GA 31211",MACON,"32.8609293, -83.6122056"
GA6575,BEAUTY QUEEN,GA,"6575 WHITTLESEY BLVD SUIT A-100, COLUMBUS, GA 31909",COLUMBUS,"32.5467935, -84.941567"
GA711,BEAUTY & BEYOND,GA,"711 E MONTGOMERY CROSS RD, SAVANNAH, GA 31406",SAVANNAH,"31.993009, -81.1007114"
GA8303,IT'S AMAZING BEAUTY,GA,"8303 WHITE BLUFF RD #A, SAVANNAH, GA31406",SAVANNAH,"31.9989738, -81.1226425"
GA915,EXPRESS BEAUTY SUPPLY,GA,"915 AMBER DR B, COLUMBUS, GA 31907",COLUMBUS,"32.4719877, -84.8923181"
IL187,HOLLYWOOD BEAUTY SUPPLY 3,IL,"31645 CAMP JACKSON RD, CAHOKIA, IL 62206",CAHOKIA,
IL188,A1 BEAUTY SUPPLY (IL1603),IL,"1603 WASHINGTON AVE, ALTON, IL 62002",ALTON,
IL189,PURE FASHION & BEAUTY,IL,"7440 S CICERO AVE, CHICAGO, IL 60629",CHICAGO,
IL190,ALI BEAUTY SUPPLY,IL,"3835 ROOSEVELT RD, CHICAGO, IL 60624",CHICAGO,
IL192,IMAGES BEAUTY SUPPLY (123),IL,"7100 OLD MISSOURI AVE, EAST ST. LOUIS, IL 62207",CENTREVILLE,
IL193,A&A BEAUTY SUPPLY,IL,"13 BELLEVUE PARK PLAZA, BELLEVILLE, IL 62226",BELLEVILLE,
IL195,STYLE THAT BEAUTY,IL,"118 E HILLCREST DR, DEKALB, IL 60115",DECALB,
IL196,HAIR ZONE,IL,"306 S MAIN ST, HILLSBORO, IL 62049",HILLSBORO,
IL197,HAIR ZONE,IL,"3725 N STERLING AVE, PEORIA, IL 61615",PEORIA,
IL198,STAR BEAUTY SUPPLY,IL,"3305 STATE ST, EAST ST. LOUIS, IL 62205",EAST ST. LOUIS,
IL50,IMAGES BEAUTY SUPPLY&BEAUTY BAR,IL,2005 W US Highway 50,Fairview Heights,
IL51,Images beauty supply 3,IL,"5720 N belt W , STE #26",Belleville,
IL67,A1 BEAUTY SUPPLY,IL,1603 Washington AVE,Alton,
IL68,Hollywood beauty supply 3 (IL1645),IL,1645 camp Jackson rd,East Saint Louis,
IL747,Velora beauty (IL5541),IL,5541 Belleville crossing st,Belleville,
IN10255,Supreme Hair Depot,IN,10255 East Washington Street,Indianapolis,"39.7733281, -85.98504679999999"
IN2304,Unique beauty supply (IN2304),IN,2304 Lincoln way w,South bend,"41.6876918, -86.28268899999999"
IN2338,Zuri Beauty Supply,IN,2338 East Stop 11 Rd,Indianapolis,"39.6512993, -86.12069760000001"
IN2350,Hunt's Beauty Supply,IN,2350 Hickory Road,Mishawaka,"41.6749871, -86.2847589"
IN244,Hunts Beauty Supply South Bend,IN,244 South Olive St,South Bend,"41.670566, -86.2796195"
IN2455,Hunts Beauty Supply Elkhart,IN,1712 South Nappanee Street,Elkhart,"41.6714533, -86.0015317"
IN3307,Diva Beauty Supply IN,IN,3309 East State Boulevard,Fort Wayne,"41.09785189999999, -85.0970128"
IN4621,The Hair Expo,IN,4621 Lafayette Road,Indianapolis,"39.832960, -86.239322"
IN5333,URban Beauty Supply,IN,5333 East Thompson Road,Indianapolis,"39.6934027, -86.0767539"
IN5509,Hair and Beauty Depot - Fort Wayne,IN,5509 Coldwater Road,Fort Wayne,"41.1299788, -85.1405561"
KY1145,BEAUTY TRENDZ (KY1145#1),KY,1145 4TH ST,LOUISVILLE,"38.2381851, -85.7597852"
KY1145,Beauty Trendz Beauty Supply (KY1145#2),KY,1145 s fourth st,Louisville,"38.2381851, -85.7597852"
KY139,BUNDLES N WIGS (KY139#1),KY,"139 E NEW CIRCLE RD STE 110, LEXINGTON, KY 40505",LEXINGTON,"38.0648027, -84.4677639"
KY139,Bundles n wigs beauty supply (KY139#2),KY,139 e new circle rd,Lexington,"38.0648027, -84.4677639"
KY2225,KNS beauty supply (jc beauty) (KY2225),KY,2225 hikes ln,Louisville,"38.2006295, -85.6598229"
KY3131,Joe's beauty supply (KY3131),KY,3131 w broadway,Louisville,"38.2459956, -85.7536447"
KY4443,FAMOUS HAIR BEAUTY SUPPLY #1 (KY4443#1),KY,4443 cane run rd,Louisville,"38.1960531, -85.8398559"
KY4443,FAMOUS HAIR BEAUTY SUPPLY #3 (KY4443#3),KY,"4443 CANE RUN RD, LOUISVILLE, KY 40216",LOUISVILLE,"38.1960531, -85.8398559"
KY4443,K&T Beauty Supply (KY4443#4),KY,4443 cane run rd,Louisville,"38.1960531, -85.8398559"
KY4838,Jim Dandy Beauty Supply (KY4838),KY,4838 poplar level rd,Louisville,"38.1721729359732, -85.68607930367425"
KY5711,FAMOUS HAIR BEAUTY SUPPLY (KY5711#2),KY,5711 PRESTON HWY,LOUISVILLE,"38.1517025, -85.6980186"
KY5711,Famous hair beauty supply (KY5711#3),KY,5711 preston hwy,Louisville,"38.1517025, -85.6980186"
KY5711,Hair heaven beauty supply (KY5711#1),KY,5711 preston hwy,Louisville,"38.1517025, -85.6980186"
(LA925),MEGA DEALS HAIR AND MORE (LA925),LA,"925 BEHRMAN HWY STE 14, GRETNA, LA 70056",GRETNA,"29.8907033, -90.01809449999999"
LA1005,BUY & SAVE BROAD ST. (LA1005),LA,"1005 BROAD ST, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.22801, -93.2067732"
LA1010,NY STYLE (LA1010),LA,"1010 HONDURAS ST, HOUMA, LA 70360",HOUMA,"29.5897088, -90.7181332"
LA103,BEAUTY & BEYOND (LA103),LA,"103 LOUISIANA AVE, LAFAYETTE, LA 70501",LAFAYETTE,"30.2249525, -92.0101037"
LA1036,LAPLACE BEAUTY MARKET,LA,"1036 W AIRLINE HWY #111, LAPLACE, LA 70068",LAPLACE,"30.0711775, -90.4870694"
LA1036,LAPLACE BEAUTY MARKET (LA1036),LA,"1036 W AIRLINE HWY #111, LAPLACE, LA 70068",LAPLACE,"30.0711775, -90.4870694"
LA1102,INFINITE BEAUTY (LA1102),LA,"1102 E ADMIRAL DOYLE DR, NEW IBERIA, LA 70560",NEW IBERIA,"29.9838552, -91.82107339999999"
LA1103,HAIR EMPIRE (LA1103),LA,"1103 SHREVPORT BARKSDALE HWY, LA71105",SHREVPORT,"32.48473582701473, -93.70753508857263"
LA11232,CINDY'S BEAUTY SUPPLIES (LA11232),LA,"11232 N HARRELLS FERRY RD, BATON ROUGE, LA 70816",BATON ROUGE,"30.4323777, -91.058665"
LA1166,MAX BEAUTY SUPPLY (LA1166),LA,"1166 TERRY PKWY, TERRYTOWN, LA 70056",TERRYTOWN,"29.8908616, -90.0315866"
LA1208,DOLLAR MANIA (LA1208),LA,"1208 HOMER RD, MINDEN, LA 71055",MINDEN,"32.62368956909631, -93.25256674623986"
LA1215,IMAN'S BEAUTY SUPPLY (LA1215),LA,"1215 NW EVANGELINE THRUWAY, LAFAYETTE, LA 70501",LAFAYETTE,"30.2379099, -92.01448169999999"
LA1223,INFINITE BEAUTY OPELOUSAS (LA1223),LA,"1223 HEATHER DR, OPELOUSAS, LA 70570",OPELOUSAS,"30.5095701, -92.07378880000002"
LA12929,PRINCESS BEAUTY SUPPLY (LA12929),LA,"12929 COURSEY BLVD, BATON ROUGE, LA 70816",BATON ROUGE,"30.4104276, -91.03508889999999"
LA1313,HAIR GALLERIA (LA1313),LA,"1313 WINNSBORO ROAD, MONROE, LA 71202",MONROE,"32.4855066, -92.0900078"
LA13787,JANNA'S BEAUTY SUPPLIES (LA13787),LA,"13787 OLD HAMMOND HWY, BATON ROUGE, LA 70816",BATON ROUGE,"30.44795199999999, -91.0317237"
LA14400,HAIR ZONE (LA14400),LA,"14400 PLANK RD, BAKER, LA 70714",BAKER,"30.5775002, -91.1270502"
LA1452,BEAUTY & BEYOND (LA1452),LA,"1452 N BROAD ST, NEW ORLEANS, LA 70119",NEW ORLEANS,"29.9768313, -90.07708570000001"
LA1466,OPRAH BEAUTY SUPPLY (LA1466),LA,"1466 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.0738831, -90.495192"
LA1507,BEAUTY MART (LA1507),LA,"1507 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.07200439999999, -90.4954934"
LA1509,DOLLAR MANIA (LA1509),LA,"1509 E BERT KOUNS INDUSTRIAL LOOP, SHREVPORT, LA 71105",SHREVPORT,"32.42859507105062, -93.71643694995721"
LA1510,IBERIA HAIR & BEAUTY SUPPLY (LA1510),LA,"1510 CENER ST. ,NEW IBERIA, LA70560",EW IBERIA,"30.0019452, -91.8416062"
LA1555,JASMINES BEAUTY SUPPLY (LA1555),LA,"1555 GARDERE LN, BATON ROUGE, LA 70820",BATON ROUGE,"30.3558629, -91.1263181"
LA1603,MAC BEAUTY SUPPLY (LA1603),LA,"1603 FRANKLIN AVE, NEW ORLEANS, LA 70117",NEW ORLEANS,"29.9742705, -90.0481513"
LA1611,H&S BEAUTY SUPPLY (LA1611),LA,"1611 CANAL BLVD, THIBODAUX, LA 70301",THIBODAUX,"29.7812203, -90.8193754"
LA1620,IBERIA HAIR AND BEAUTY SUPPLY (LA1620),LA,"1620 S HOPKINS ST, NEW IBERIA, LA 70560",NEW IBERIA,"30.0019452, -91.8416062"
LA1717,OPRAH BEAUTY SUPPLY (LA1717),LA,"1717 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.07176669999999, -90.4985059"
LA1726,JABERS BEAUTY (LA1726),LA,"1726 N AIRLINE HWY, GONZALES, LA 70737",GONZALES,"30.2480914, -90.9217297"
LA1833,BUY & SAVE HAIR & BEAUTY SUPPLY (LA1833),LA,"1833 GERSTNER MEMORIAL DR, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.2151248, -93.179305"
LA1880,ALL STAR BEAUTY SUPPLY (LA1880),LA,"1880 REES ST SUITE 103-A, BREAUX BRIDGE, LA 70517",BREAUX BRIDGE,"30.2905951, -91.910943"
LA1913,DOLLAR PLUS BEAUTY SUPPLY (LA1913),LA,"1913 N MARKET ST SUITE A, SHREVEPORT, LA 71107",SHREVEPORT,"32.54461610042146, -93.7782297057706"
LA199,BEAUTY & MORE SLIDELL (LA199),LA,"199 GAUSE BLVD W, SLIDELL, LA 70460",SLIDELL,"30.2874931, -89.7821372"
LA2001,IMAN BEAUTY SUPPLY 2,LA,"2001 MOSS ST, LAFAYETTE, LA 70501",LAFAYETTE,"30.25121409999999, -92.0059679"
LA2001,IMAN BEAUTY SUPPLY 2 (LA2001),LA,"2001 MOSS ST, LAFAYETTE, LA 70501",LAFAYETTE,"30.25121409999999, -92.0059679"
LA2014,GITANA BEAUTY SUPPLY & HAIR (LA2014),LA,"2014 JEWELLA AVE, SHREVPORT, LA71109",SHREVPORT,"32.49245420826269, -93.79790872111828"
LA2015,HAIR SAGA (LA2015),LA,"2015 RYAN ST, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.2118118, -93.21804829999999"
LA2019,HAIR STAR BEAUTY SUPPLY (LA2019),LA,"2109 W UNIVERSITY AVE #2019, LAFAYETTE, LA 70506",LAFAYETTE,"30.23169699999999, -92.0330352"
LA2020,ELEGANCE BEAUTY SUPPLY (LA2020),LA,"2020 N CLAIBORNE AVE, NEW ORLEANS, LA 70116",NEW ORLEANS,"29.9729253, -90.0590654"
LA2029,YARA BEAUTY SUPPLY (LA2029),LA,"2029 WILLIAMS BLVD, KENNER, LA70962",KENNER,"29.99356809999999, -90.2423142"
LA209,JASMINES BEAUTY SUPPLY (LA209),LA,"209 HOSPITAL RD, NEW ROADS, LA 70760",NEW ROADS,"30.682167, -91.4640177"
LA211,LUXE BEAUTY SUPPLY (LA211),LA,"211 W WILLOW ST, LAFAYETTE, LA 70501",LAFAYETTE,"30.2436282, -92.015902"
LA2120,JEANINE BEAUTY SUPPLY INC (LA2120),LA,"2120 ONEAL LN, BATON ROGUE, LA70816",BATON ROGUE,"30.4378014, -91.00858029999999"
LA2122,QUEENS BEAUTY SUPPLY (LA2122),LA,"2122 S CLAIBORNE AVE, NEW ORLEANS, LA 70125",NEW ORLEANS,"29.9451135, -90.0891913"
LA213,FIVE STAR BEAUTY (LA213),LA,"213 NORTH SERVICE RD E, RUSTON, LA 71270",RUSTON,"32.5423329, -92.6354829"
LA2147,BEAUTY KINGDOM (LA2147),LA,"2147 S CLAIBORNE AVE STE A, NEW ORLEANS, LA 70125",NEW ORLEANS,"29.9457548, -90.0902704"
LA2152,HAIR QUEEN BEAUTY (LA2152),LA,"2152 S SHERWOOD FORST BLVD, BATON ROGUE, LA70816",BATON ROGUE,"30.4332012, -91.0586883"
LA2202,JASMINES BEAUTY SUPPLY (LA2202),LA,"2202 N SHERWOOD FOREST DR, BATON ROUGE, LA 70815",BATON ROUGE,"30.4683663, -91.0577727"
LA2216,BUY AND SAVE BEAUTY SUPPLY (LA2216),LA,"2216 MEMORIAL DR B, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.2807025, -92.46080780000001"
LA2272,HAIR QUEEN BEAUTY (LA2272),LA,"2272 N FOSTER DR ST B, BATON ROUGE, LA 70806",BATON ROUGE,"30.4692024, -91.139534"
LA2309,DIAMOND BEAUTY LLC (LA2309),LA,"2309 MANHATTAN BLVD SUITE 2, HARVEY, LA70058",HARVEY,"29.8801095, -90.0506315"
LA234,BUY AND SAVE BEAUTY SUPPLY (LA234),LA,"234 BOLTON AVE, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.3067546, -92.4581729"
LA2425,BROTHERS BEAUTY SUPPLY (LA2425),LA,"2425 WILLIAMS BLVD, KENNER, LA 70062",KENNER,"30.0035277, -90.2401207"
LA250,HAIR ZONE (LA250),LA,"250 MAIN ST, BAKER, LA 70714",BAKER,"30.5759244, -91.16790519999999"
LA2600,HAIR GALLERIA (LA2600),LA,"2600 WAGGONER AVE SUITE 208, SHREVEPORT, LA 71108",SHREVEPORT,"32.45441137820676, -93.77810258857377"
LA2612,DOLLAR MANIA (LA2612),LA,"2612 HOLLYWOOD AVE, SHREVPORT, LA 71108",SHREVPORT,"32.45710446491973, -93.77874998486409"
LA2716,HAIR PALACE BEAUTY SUPPLY (LA2716),LA,"2718 RODEO RD STE B, ABBEVILLE, LA70510",ABBEVILLE,"29.9758744, -92.10495"
LA2785,ROYAL PALACE WIG BOUTIQUE&SALON SUITES (LA2785),LA,"2785 BELLECHASE HWY, GRENTA, LA70056",GRENTA,"29.8824112, -90.0216258"
LA2925,DOLLAR MANIA (LA2925),LA,"2925 E TEXAS ST, BOSSIER CITY, LA 71111",BOSSIER CITY,"32.52915346761476, -93.70800950391649"
LA3000,BEAUTY TOWN (LA3000),LA,"3000D THIBAUT DR #C, DONALDSONVILLE, LA 70346",DONALDSONVILLE,"30.096155, -90.98325129999999"
LA301,FIVE STAR BEAUTY & GALLERY (LA301),LA,"301 STERLINGTON RD, MONROE, LA 71203",MONROE,"32.5250237, -92.0822948"
LA3038,J-LO BEAUTY SUPPLY (LA3038),LA,"3038 HOLIDAY DR, NEW ORLEANS, LA 70131",NEW ORLEANS,"29.921942, -90.0119682"
LA311,DIAMOND BEAUTY SUPPLY #3 (LA311),LA,"311 MACARTHUR DR, ALEXANDRIA, LA71301",ALEXANDRIA,"31.2987862, -92.4774549"
LA3124,GENA BEAUTY SUPPLY (LA3124),LA,"3124 LOYOLA DR, KENNER, LA 70065",KENNER,"30.01120179999999, -90.2659104"
LA3125,HOUSE OF BEAUTY (LA3125),LA,"3125 SAINT CLAUDE AVE #3, NEW ORLEANS, LA 70117",NEW ORLEANS,"29.9678389, -90.0434248"
LA3129,CORNER BEAUTY SUPPLY (LA3129),LA,"3129 GENTILLY BLVD, NEW ORLEANS, LA 70122",NEW ORLEANS,"29.9991844, -90.0600496"
LA3251,GENTLEMEN'S BARBERSHOP (LA3251),LA,"3251 MANHATTEN BLVD STE B2C, HARVEY, LA70058",HARVEY,"29.8616335, -90.0459351"
LA331,SEREEN BEAUTY SUPPLY (LA331),LA,"331 VETERANS MEMORIAL BLVD, NEW ORLEANS, LA 70062",NEW ORLEANS,"30.0048106, -90.2667357"
LA3423,ONE MINUTE SUPPLY (LA3423),LA,"3423 LOUISA ST, NEW ORLEANS, LA 70126",NEW ORLEANS,"29.9925971, -90.0345072"
LA3515,DOLLAR MANIA (LA3515),LA,"3515 JEWELLA AVE, SHREVPORT, LA 71109",SHREVPORT,"32.480227084640944, -93.79672854995523"
LA3611,INFINITE BEAUTY LAFAYETTE (LA3611),LA,"3611 AMBASSADOR CAFFERY PKWY, LAFAYETTE, LA 70503",LAFAYETTE,"30.1760563, -92.0695033"
LA3624,AVEDA HAIR & BEAUTY (LA3624),LA,"3624 GENERAL DE GAULLE DR, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.924088, -90.018208"
LA3640,SEREEN BEAUTY SUPPLY (LA3640),LA,"3640 MACARTHUR BLVD, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.9259598, -90.01898910000001"
LA3648,HAIR TALK (LA3648),LA,"3648 GENERAL DEGAULLE DR, NEW ORLEANS, LA70114",NEW ORLEANS,"29.9238064, -90.0177894"
LA3926,BEAUTY EXPRESS 2 (LA3926),LA,"3926 BARRON ST #C100, METAIRIE, LA70002",METAIRIE,"30.0021441, -90.1731865"
LA400,BEAUTY MASTER BEAUTY SUPPLY (LA400),LA,"400 LAPALCO BLVD, GRETNA, LA 70056",GRETNA,"29.8810652, -90.02878869999999"
LA4023,BEAUTY MASTER BEAUTY SUPPLY (LA4023),LA,"4023 BEHRMAN HWY, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.9101683, -90.019832"
LA406,DIAMOND/EBONY BEAUTY SUPPLY (LA406),LA,"406 BOLTON AVE, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.3061763, -92.4577103"
LA4301,MAC BEAUTY & HAIR STYLIST (LA4301),LA,"4301 LOUISA ST, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0060831, -90.03611579999999"
LA4314,SEREEN BEAUTY SUPPLY (LA4314),LA,"4314 DOWNMAN RD, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0138399, -90.0220837"
LA4373,JASMINES BEAUTY SUPPLY (LA4373),LA,"4373 FLORIDA BLVD, BATON ROGUE, LA 4373",BATON ROGUE,"30.4510056, -91.1447867"
LA4523,DIAMOND BEAUTY SUPPLY (LA4523),LA,"4523 LEE ST #3234, ALEXANDRIA, LA 71302",ALEXANDRIA,"31.2664025, -92.4448038"
LA462,DOLLAR MANIA (LA462),LA,"462 E 70TH ST, SHREVPORT, LA 71106",SHREVPORT,"32.44234289143861, -93.74910318857424"
LA4800,EYONCE BEAUTY SUPPLY (LA4800),LA,"4800 CHEF MENETEUR HWY, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0055722, -90.03287189999999"
LA4819,HOUSE OF BEAUTY (LA4819),LA,"4819 DOWNMAN RD, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0179298, -90.02143960000001"
LA4820,ALLURE BEAUTY SUPPLY (LA4820),LA,"4820 GENERAL MEYER AVE, NEW ORLEANS, LA 70131",NEW ORLEANS,"29.9330808, -90.0037522"
LA495,J-LO BEAUTY SUPPLY (LA495),LA,"495 VOTERS RD, SLIDELL, LA 70461",SLIDELL,"30.2551989, -89.7539116"
LA507,STEPPING UP BEAUTY SUPPLY (LA507),LA,"507 MARTIN LUTHER KING JUNIOR DRIVE, MONROE, LA 71203",MONROE,"32.514601, -92.0796799"
LA5236,SEREEN BEAUTY SUPPLY (LA5236),LA,"5236 LAPLACO BLVD, MARRERO, LA 70072",MARRERO,"29.8757945, -90.1056703"
LA5630,JASMINES BEAUTY SUPPLY (LA5630),LA,"5630 PLANK RD, BATON ROUGE, LA 70805",BATON ROUGE,"30.50106539999999, -91.15193359999999"
LA5703,TOWER BEAUTY SUPPLY (LA5703),LA,"5703 READ BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.03404, -89.97359229999999"
LA5741,#1 BEAUTY SUPPLY WOMEN'S APPAREL (LA5741),LA,"5741 CROWDER BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.0281414, -89.99141780000001"
LA5939,BEAUTY MASTER BEAUTY SUPPLY (LA5939),LA,"5939 LAPALCO BLVD, MARRERO, LA 70072",MARRERO,"29.8739286, -90.1101297"
LA5953,HAIR GALLERIA (LA5953),LA,"5953 PLANK RD, BATON ROUGE, LA 70805",BATON ROUGE,"30.5036166, -91.153483"
LA6003,BELLA HAIR & BEAUTY (LA6003),LA,"6003 BULLARD AVE, NEW ORLEANS, LA 70128",NEW ORLEANS,"30.0437765, -89.95707209999999"
LA61,SISTER'S BEAUTY SUPPLY (LA61),LA,"61 HOLMES BLVD SUITE A, TERRYTOWN, LA 70056",TERRYTOWN,"29.92058759999999, -90.0335494"
LA614,AMERICAN BEAUTY SUPPLY (LA614),LA,"614 ST MARY ST, THIBODAUX, LA 70301",THIBODAUX,"29.7969004, -90.8303052"
LA6180,DIVA HAIR & BEAUTY SUPPLY (LA6180),LA,"6180 AIRLINE HWY, BATON ROUGE, LA 70805",BATON ROUGE,"30.4984816, -91.12938059999999"
LA627,JENY'S HAIR AND BEAUTY (LA627),LA,"627 ACTON RD, MARKSVILLE, LA 71351",MARKSVILLE,"31.1170186, -92.0653325"
LA64,HAIR KINGDOM BEAUTY SUPERCENTER (LA64),LA,"64 WESTBANK EXPY, GRENTA, LA 70053",GRENTA,"29.9127908, -90.04838160000001"
LA6600,BEAUTY & BEYOND (LA6600),LA,"6600 FRANKLIN AVE, NEW ORLEANS, LA 70122",NEW ORLEANS,"30.0284214, -90.0544264"
LA6713,DOLLAR MANIA (LA6713),LA,"6713 PINES RD, SHREVPORT, LA 71129",SHREVPORT,"32.449194002056046, -93.86354350391962"
LA6880,NY STYLE #2 BEAUTY SUPPLY (LA6880),LA,"6880 W PARK AVE, HOUMA, LA 70364",HOUMA,"29.609528, -90.7441601"
LA702,PRINCESS BEAUTY SUPPLY (LA702),LA,"702 N LOBDELL HWY, PORT ALLEN, LA 70767",PORT ALLEN,"30.4564723, -91.2479553"
LA7028,PRINCESS BEAUTY SUPPLY (LA7028),LA,"7028 MICKENS RD, BATON ROUGE, LA 70811",BATON ROUGE,"30.5178818, -91.120538"
LA7040,HAIR KINGDOM BEAUTY-EAST (LA7040),LA,"7040 READ BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.0390696, -89.977851"
LA7042,GENA BEAUTY SUPPLY (LA7042),LA,"7042 BULLARD AVE, NEW ORLEANS, LA 70128",NEW ORLEANS,"30.0481469, -89.9631539"
LA7045,READ BEAUTY SUPPLY (LA7045),LA,"7045 READ BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.0395728, -89.97722590000001"
LA70461,TOP TIER BEAUTY SUPPLY (LA70461),LA,"4040 PONTCHARTRAIN DR, SLIDELL, LA70461",SLIDELL,"30.2480321, -89.79253159999999"
LA719,BEAUTY EXPO (LA719),LA,"719 LESSARD ST, DONALDSONVILLE, LA 70346",DONALDSONVILLE,"30.0992478, -90.9898927"
LA725,OAKDALE BEAUTY SUPPLY (LA725),LA,"725 US-165, OAKDALE, LA 71463",OAKDALE,"30.8002292, -92.6735539"
LA7344,JASMINES BEAUTY SUPPLY (LA7344),LA,"7344 AIRLINE HWY, BATON ROUGE, LA 70805",BATON ROUGE,"30.4802845, -91.11608629999999"
LA7500,ALL PLUS DEPOT (LA7500),LA,"7500 BULLARD AVE, NEW ORLEANS, LA 70128",NEW ORLEANS,"30.0510821, -89.9669823"
LA758,DOLLAR MANIA (LA758),LA,"758 SHREVEPORT BARKSDALE HWY, SHREVEPORT, LA 71105",SHREVEPORT,"32.4807552, -93.7156603"
LA758,SUPREME BEAUTY 8 INC,LA,"758 SHREVPORT BARKSDALE HWY, SHREVPORT, LA 71105",SHREVEPORT,"32.4807552, -93.7156603"
LA7939,MIAMI BEAUTY SUPPLY (LA7939),LA,"7939 CHEF MENTEUR HWY, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.01356029999999, -89.9932652"
LA7979,HAIR QUEEN BEAUTY SUPERCENTER (LA7979),LA,"7979 FLORIDA BLVD, BATON ROUGE, LA 70806",BATON ROUGE,"30.4532408, -91.1060778"
LA801,BROTHERS BEAUTY SUPPLY (LA801),LA,"801 BEHRMAN HWY SUITE 101, TERRYTOWN, LA 70056",TERRYTOWN,"29.8941962, -90.0188924"
LA806,FOR HER BEAUTY SUPPLY (LA806),LA,"806 SW RAILROAD AVE, HAMMOND, LA 70403",HAMMOND,"30.4967442, -90.4597088"
LA809,EBONI BEAUTY & HAIR (LA809),LA,"809 BEHRMAN HWY SUITE 101, TERRYTOWN, LA 70056",TERRYTOWN,"29.8933489, -90.0187118"
LA8244,OPRAH BEAUTY SUPPLY (LA8244),LA,"8244 S CLAIBORNE AVE, NEW ORLEANS, LA 70118",NEW ORLEANS,"29.9570688, -90.12250829999999"
LA827,OP BEAUTY SUPPLY (LA827),LA,"827 CRESWELL LN, OPELOUSAS, LA 70570",OPELOUSAS,"30.5205998, -92.0758991"
LA845,BEAUTY & BEYOND BEAUTY SUPPLY (LA845),LA,"845 HIGHWAY 90 EAST, MORGAN CITY, LA 70380",MORGAN CITY,"29.6819705, -91.2724243"
LA8998,LOVE'S BEAUTY SUPPLY (LA8998),LA,"8998 WESTBANK EXPY, WESTWEGO, LA 70094",WESTWEGO,"29.9069891, -90.1595153"
LA923,ROYAL BEAUTY SUPPLY (LA923),LA,"923 E LASALLE ST, VILLE PLATTE, LA 70586",VILLE PLATTE,"30.686159, -92.26016880000002"
LA924,H&S BEAUTY SUPPLY (LA924),LA,"924 JACKSON ST. ,THIBODAUX, LA70301",HIBODAUX,"29.79120279999999, -90.82310559999999"
LA9290,JASMINES BEAUTY SUPPLY (LA9290),LA,"9290 GREENWELL SPRINGS RD, BATON ROUGE, LA 70814",BATON ROUGE,"30.4842494, -91.0866987"
